ID	Name	Def	Def Source	Relationship	Is Obsolete	Synonym	Synonym Type
BIOGRID_PTAG:0000015	E1	"Ubiquitin-activating enzyme; catalyzes C-terminal adenylation of ubiquitin followed by formation of a high-energy ubiquitin-E1 thioester bond, in preparation for transfer to an E2 enzyme. There are two E1 enzymes in humans, UBA1 and UBA6, and one E1 in yeast, UBA1."	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	E1	abbreviation
BIOGRID_PTAG:0000016	UEV	Ubiquitin E2 variant that has a domain similar to a UBC domain (found in E2s) and can bind ubiquitin but lacks the catalytic Cys residue; UEV domain proteins are often found in complex with E2s.	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	UEV	abbreviation
BIOGRID_PTAG:0000017	Ubiquitin	"Highly conserved 76 amino acid protein that undergoes covalent attachment to a substrate protein for a number of possible purposes, such as degradation, regulation, or endocytosis.  Often encoded by multiple genes in an organism, including fusion genes of ubiquitin and a ribosomal protein (e.g. human RPS27A or S. cerevisiae RPS31)."	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	UB	abbreviation
BIOGRID_PTAG:0000018	PROTEASOME CHAPERONE	"Protein that is required for proper proteasome assembly, either by interaction with the proteasome during its assembly or by regulation of the assembly process."	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	PROT CHAP	abbreviation
BIOGRID_PTAG:0000019	NEDD8	Ubiquitin-like modifier that becomes conjugated to cullin subunits of the cullin-RING ligases in a process called neddylation. The yeast protein is encoded by RUB1.	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	N8	abbreviation
BIOGRID_PTAG:0000020	NEDD8 E3	Ligase that functions in the neddylation process to ligate Nedd8 to cullin subunits of the cullin-RING ligases.	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	N8 E3	abbreviation
BIOGRID_PTAG:0000021	NEDD E3	Ligase that functions in the neddylation process to ligate Nedd8 to cullin subunits of the cullin-RING ligases.	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	NEDD E3	abbreviation
BIOGRID_PTAG:0000022	Ubiquitination	Ubiquitination post translational modifications have been identified for this gene.	BioGRID:Curators	BIOGRID_PTAG:0000003	FALSE	UBI	abbreviation
BIOGRID_PTAG:0000023	Phosphorylation	Phosphorylation post translational modifications have been identified for this gene.	BioGRID:Curators	BIOGRID_PTAG:0000003	FALSE	PHO	abbreviation
BIOGRID_PTAG:0000024	ISG15ylation	ISG15ylation post translational modifications have been identified for this gene.	BioGRID:Curators	BIOGRID_PTAG:0000003	FALSE	ISG15	abbreviation
BIOGRID_PTAG:0000025	Neddylation	Neddylation post translational modifications have been identified for this gene.	BioGRID:Curators	BIOGRID_PTAG:0000003	FALSE	NEDD	abbreviation
BIOGRID_PTAG:0000026	Fat10ylation	Fat10ylation post translational modifications have been identified for this gene.	BioGRID:Curators	BIOGRID_PTAG:0000003	FALSE	FAT10	abbreviation
BIOGRID_PTAG:0000027	Sumoylation	Sumoylation post translational modifications have been identified for this gene.	BioGRID:Curators	BIOGRID_PTAG:0000003	FALSE	SUMO	abbreviation
BIOGRID_PTAG:0000028	Ufmylation	Ufmylation post translational modifications have been identified for this gene.	BioGRID:Curators	BIOGRID_PTAG:0000003	FALSE	UFM	abbreviation
BIOGRID_PTAG:0000029	NEDD8 PROTEASE	Deneddylation enzyme that removes NEDD8 from substrates	BioGRID:Curators	BIOGRID_PTAG:0000002	FALSE	N8 PROT	abbreviation
