ID	Name	Def	Def Source	Relationship	Is Obsolete	Synonym	Synonym Type
BIOGRID_SYSTEM:0000011	Co-localization	"Interaction inferred from two proteins that co-localize in the cell by indirect immunofluorescence only when in addition, if one gene is deleted, the other protein becomes mis-localized. Also includes co-dependent association of proteins with promoter DNA in chromatin immunoprecipitation experiments."	BIOGRID:Curators	BIOGRID_SYSTEM:0000003	FALSE	none	none
BIOGRID_SYSTEM:0000012	Co-purification	"An interaction is inferred from the identification of two or more protein subunits in a purified protein complex, as obtained by classical biochemical fractionation or affinity purification and one or more additional fractionation steps."	BIOGRID:Curators	BIOGRID_SYSTEM:0000003	FALSE	none	none
BIOGRID_SYSTEM:0000013	FRET	"An interaction is inferred when close proximity of interaction partners is detected by fluorescence resonance energy transfer between pairs of fluorophore-labeled molecules, such as occurs between CFP (donor) and YFP (acceptor) fusion proteins."	BIOGRID:Curators	BIOGRID_SYSTEM:0000003	FALSE	none	none
BIOGRID_SYSTEM:0000014	PCA	"A Protein-Fragment Complementation Assay (PCA) is a protein-protein interaction assay in which a bait protein is expressed as fusion to one of the either N- or C- terminal peptide fragments of a reporter protein and prey protein is expressed as fusion to the complementary N- or C- terminal fragment of the same reporter protein. Interaction of bait and prey proteins bring together complementary fragments, which can then fold into an active reporter, e.g. the split-ubiquitin assay."	BIOGRID:Curators	BIOGRID_SYSTEM:0000003	FALSE	none	none
BIOGRID_SYSTEM:0000015	Two-hybrid	Bait protein expressed as a DNA binding domain (DBD) fusion and prey expressed as a transcriptional activation domain (TAD) fusion and interaction measured by reporter gene activation.	BIOGRID:Curators	BIOGRID_SYSTEM:0000003	FALSE	none	none
BIOGRID_SYSTEM:0000016	Biochemical Activity	"An interaction is inferred from the biochemical effect of one protein upon another, for example, GTP-GDP exchange activity or phosphorylation of a substrate by a kinase. The bait protein executes the activity on the substrate hit protein. A Modification value is recorded for interactions of this type with the possible values Phosphorylation, Ubiquitination, Sumoylation, Dephosphorylation, Methylation, Prenylation, Acetylation, Deubiquitination, Proteolytic Processing, Glucosylation, Nedd(Rub1)ylation, Deacetylation, No Modification, Demethylation."	BIOGRID:Curators	BIOGRID_SYSTEM:0000004	FALSE	none	none
BIOGRID_SYSTEM:0000017	Co-crystal Structure	"Interaction directly demonstrated at the atomic level by X-ray crystallography. Also used for NMR or Electron Microscopy (EM) structures. If there is no obvious bait-hit directionality to the interaction involving 3 or more proteins, then the co-crystallized proteins should be listed as a complex."	BIOGRID:Curators	BIOGRID_SYSTEM:0000004	FALSE	none	none
BIOGRID_SYSTEM:0000018	Far Western	An interaction is detected between a protein immobilized on a membrane and a purified protein probe.	BIOGRID:Curators	BIOGRID_SYSTEM:0000004	FALSE	none	none
BIOGRID_SYSTEM:0000019	Protein-peptide	An interaction is detected between a protein and a peptide derived from an interaction partner. This includes phage display experiments.	BIOGRID:Curators	BIOGRID_SYSTEM:0000004	FALSE	none	none
BIOGRID_SYSTEM:0000020	Protein-RNA	An interaction is detected between and protein and an RNA in vitro.	BIOGRID:Curators	BIOGRID_SYSTEM:0000004	FALSE	none	none
BIOGRID_SYSTEM:0000021	Reconstituted Complex	An interaction is detected between purified proteins in vitro.	BIOGRID:Curators	BIOGRID_SYSTEM:0000004	FALSE	none	none
BIOGRID_SYSTEM:0000022	Dosage Growth Defect	A genetic interaction is inferred when over expression or increased dosage of one gene causes a growth defect in a strain that is mutated or deleted for another gene.	BIOGRID:Curators	BIOGRID_SYSTEM:0000005	FALSE	none	none
BIOGRID_SYSTEM:0000023	Dosage Lethality	A genetic interaction is inferred when over expression or increased dosage of one gene causes lethality in a strain that is mutated or deleted for another gene.	BIOGRID:Curators	BIOGRID_SYSTEM:0000005	FALSE	none	none
BIOGRID_SYSTEM:0000024	Dosage Rescue	A genetic interaction is inferred when over expression or increased dosage of one gene rescues the lethality or growth defect of a strain that is mutated or deleted for another gene.	BIOGRID:Curators	BIOGRID_SYSTEM:0000005	FALSE	none	none
BIOGRID_SYSTEM:0000025	Negative Genetic	"Mutations/deletions in separate genes, each of which alone causes a minimal phenotype, but when combined in the same cell results in a more severe fitness defect or lethality under a given condition. This term is reserved for high or low throughput studies with scores."	BIOGRID:Curators	BIOGRID_SYSTEM:0000005	FALSE	none	none
BIOGRID_SYSTEM:0000026	Phenotypic Enhancement	A genetic interaction is inferred when mutation or overexpression of one gene results in enhancement of any phenotype (other than lethality/growth defect) associated with mutation or over expression of another gene.	BIOGRID:Curators	BIOGRID_SYSTEM:0000005	FALSE	none	none
BIOGRID_SYSTEM:0000027	Phenotypic Suppression	A genetic interaction is inferred when mutation or over expression of one gene results in suppression of any phenotype (other than lethality/growth defect) associated with mutation or over expression of another gene.	BIOGRID:Curators	BIOGRID_SYSTEM:0000005	FALSE	none	none
BIOGRID_SYSTEM:0000028	Positive Genetic	"Mutations/deletions in separate genes, each of which alone causes a minimal phenotype, but when combined in the same cell results in a less severe fitness defect than expected under a given condition. This term is reserved for high or low throughput studies with scores."	BIOGRID:Curators	BIOGRID_SYSTEM:0000005	FALSE	none	none
BIOGRID_SYSTEM:0000029	Synthetic Growth Defect	"A genetic interaction is inferred when mutations in separate genes, each of which alone causes a minimal phenotype, result in a significant growth defect under a given condition when combined in the same cell."	BIOGRID:Curators	BIOGRID_SYSTEM:0000005	FALSE	none	none
BIOGRID_SYSTEM:0000030	Synthetic Haploinsufficiency	"A genetic interaction is inferred when mutations or deletions in separate genes, at least one of which is hemizygous, cause a minimal phenotype alone but result in lethality when combined in the same cell under a given condition."	BIOGRID:Curators	BIOGRID_SYSTEM:0000005	FALSE	none	none
BIOGRID_SYSTEM:0000031	Synthetic Lethality	"A genetic interaction is inferred when mutations or deletions in separate genes, each of which alone causes a minimal phenotype, result in lethality when combined in the same cell under a given condition."	BIOGRID:Curators	BIOGRID_SYSTEM:0000005	FALSE	none	none
BIOGRID_SYSTEM:0000032	Synthetic Rescue	A genetic interaction is inferred when mutations or deletions of one gene rescues the lethality or growth defect of a strain mutated or deleted for another gene.	BIOGRID:Curators	BIOGRID_SYSTEM:0000005	FALSE	none	none
BIOGRID_SYSTEM:0000033	Synthetic Growth Defect	"A genetic interaction is inferred when mutations in separate genes, each of which alone causes a minimal phenotype, result in a significant growth defect under a given condition when combined in the same cell."	BIOGRID:Curators	BIOGRID_SYSTEM:0000005	FALSE	none	none
BIOGRID_SYSTEM:0000034	Invivo	none	none	none	TRUE	none	none
BIOGRID_SYSTEM:0000035	Invitro	none	none	none	TRUE	none	none
BIOGRID_SYSTEM:0000036	Epistatic MiniArray Profile	An observed double mutant colony's sizes are compared to those that would be expected from a distribution of typical double mutant colonies of each strain. Each interaction is assigned a score which indicated the magnitude of the difference from the expected value and the certainty of the score. A negative (or aggravating) score < -3 would imply synthetic sick/lethal interaction and a positive (alleviating) score >+3 would imply suppressor interaction.	BIOGRID:Curators	none	TRUE	none	none
BIOGRID_SYSTEM:0000037	Proximity Label-MS	"An interaction is inferred when a bait-enzyme fusion protein selectively modifies a vicinal protein with a diffusible reactive product, followed by affinity capture of the modified protein and identification by mass spectrometric methods."	BIOGRID:Curators	BIOGRID_SYSTEM:0000003	FALSE	none	none
